COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,RANGE_HA,NCC_FS_HA,PCT_NCC
2,Carex lupuliformis,False Hop Sedge,Vascular Plants,Endangered,Schedule 1,165714.48,8.4,0.01
4,Astragalus robbinsii var. fernaldii,Fernald's Milk–vetch,Vascular Plants,Special Concern,Schedule 1,15697.47,0.0,0.0
5,Braya fernaldii,Fernald's Braya,Vascular Plants,Endangered,Schedule 1,68241.4,0.0,0.0
6,Braya longii,Long's Braya,Vascular Plants,Endangered,Schedule 1,17871.3,0.0,0.0
12,Lotus formosissimus,Seaside Birds–foot Lotus,Vascular Plants,Endangered,Schedule 1,4176.5,0.0,0.0
19,Empidonax virescens,Acadian Flycatcher,Birds,Endangered,Schedule 1,2497140.51,3463.040000000001,0.14
20,Athene cunicularia,Burrowing Owl,Birds,Endangered,Schedule 1,19383779.91,20286.099999999995,0.1
21,Numenius borealis,Eskimo Curlew,Birds,Endangered,Schedule 1,21982073.36,0.0,0.0
22,Histrionicus histrionicus,Harlequin Duck (Eastern population),Birds,Special Concern,Schedule 1,45464376.22,1108.5,0.0
23,Ammodramus henslowii,Henslow's Sparrow,Birds,Endangered,Schedule 1,1869356.03,6936.390000000001,0.37
24,Rallus elegans,King Rail,Birds,Endangered,Schedule 1,741919.02,2982.3200000000006,0.4
25,Setophaga kirtlandii,Kirtland's Warbler,Birds,Endangered,Schedule 1,370566.18,1983.91,0.54
26,Lanius ludovicianus migrans,Loggerhead Shrike migrans subspecies,Birds,Endangered,Schedule 1,2419979.68,6749.009999999998,0.28
27,Charadrius montanus,Mountain Plover,Birds,Endangered,Schedule 1,221594.3,0.0,0.0
28,Colinus virginianus,Northern Bobwhite,Birds,Endangered,Schedule 1,2102278.86,3624.249999999999,0.17
31,Protonotaria citrea,Prothonotary Warbler,Birds,Endangered,Schedule 1,305938.0,2561.250000000001,0.84
32,Oreoscoptes montanus,Sage Thrasher,Birds,Endangered,Schedule 1,1549159.25,3034.1300000000006,0.2
33,Strix occidentalis caurina,Spotted Owl caurina subspecies,Birds,Endangered,Schedule 1,1622288.56,111.02000000000001,0.01
34,Grus americana,Whooping Crane,Birds,Endangered,Schedule 1,787680.05,0.0,0.0
35,Tympanuchus cupido,Greater Prairie–Chicken,Birds,Extirpated,Schedule 1,62362834.4,42358.929999999935,0.07
36,Ammodramus bairdii,Baird’s Sparrow,Birds,No Status,No schedule,40310022.48,22247.449999999986,0.06
37,Setophaga citrina,Hooded Warbler,Birds,Not at Risk,Schedule 1,2952451.16,3862.669999999999,0.13
38,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,Birds,Threatened,Schedule 1,44534128.56,25239.10999999999,0.06
39,Brachyramphus marmoratus,Marbled Murrelet,Birds,Threatened,Schedule 1,14268265.2,1224.9399999999996,0.01
40,Sterna dougallii,Roseate Tern,Birds,Endangered,Schedule 1,165073.94,19.47,0.01
41,Picoides albolarvatus,White–headed Woodpecker,Birds,Endangered,Schedule 1,429039.72,1574.2100000000003,0.37
42,Icteria virens auricollis,Yellow-breasted Chat auricollis subspecies (Southern Mountain population),Birds,Endangered,Schedule 1,596708.42,1574.2100000000003,0.26
43,Synthliboramphus antiquus,Ancient Murrelet,Birds,Special Concern,Schedule 1,15733858.56,322.68999999999977,0.0
44,Tyto alba,Barn Owl (Western population),Birds,Threatened,Schedule 1,888912.66,1980.2799999999997,0.22
46,Setophaga cerulea,Cerulean Warbler,Birds,Endangered,Schedule 1,4987598.84,13834.789999999986,0.28
47,Buteo regalis,Ferruginous Hawk,Birds,Threatened,Schedule 1,20592516.01,15328.890000000012,0.07
48,Otus flammeolus,Flammulated Owl,Birds,Special Concern,Schedule 1,3583599.13,11146.529999999999,0.31
49,Passerculus sandwichensis princeps,Savannah Sparrow princeps subspecies,Birds,Special Concern,Schedule 1,3177.64,0.0,0.0
50,Pagophila eburnea,Ivory Gull,Birds,Endangered,Schedule 1,77586612.08,0.0,0.0
51,Ixobrychus exilis,Least Bittern,Birds,Threatened,Schedule 1,25138789.46,74289.79999999997,0.3
52,Numenius americanus,Long–billed Curlew,Birds,Special Concern,Schedule 1,28683395.53,14858.330000000002,0.05
53,Parkesia motacilla,Louisiana Waterthrush,Birds,Special Concern,Schedule 1,2672342.95,8397.310000000005,0.31
54,Falco peregrinus pealei,Peregrine Falcon pealei subspecies,Birds,Special Concern,Schedule 1,1492940.9,50.22,0.0
56,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,Birds,Threatened,Schedule 1,4323633.71,559.62,0.01
57,Melanerpes erythrocephalus,Red–headed Woodpecker,Birds,Threatened,Schedule 1,31816954.42,69888.56999999999,0.22
59,Rhodostethia rosea,Ross's Gull,Birds,Threatened,Schedule 1,22162517.86,0.0,0.0
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,793550468.76,403631.60999999946,0.05
61,Icteria virens virens,Yellow-breasted Chat virens subspecies,Birds,Endangered,Schedule 1,4371726.97,5862.070000000006,0.13
124,Heterodermia sitchensis,Seaside Centipede Lichen,Lichens,Endangered,Schedule 1,27929.26,0.0,0.0
125,Nephroma occultum,Cryptic Paw Lichen,Lichens,Special Concern,Schedule 1,1643439.49,0.0,0.0
126,Pseudocyphellaria rainierensis,Oldgrowth Specklebelly Lichen,Lichens,Special Concern,Schedule 1,376136.53,0.0,0.0
127,Hypogymnia heterophylla,Seaside Bone Lichen,Lichens,Threatened,Schedule 1,5848.66,0.0,0.0
134,Martes americana atrata,American Marten (Newfoundland population),Mammals,Threatened,Schedule 1,1761613.29,2554.88,0.15
136,Marmota vancouverensis,Vancouver Island Marmot,Mammals,Endangered,Schedule 1,185642.84,0.0,0.0
137,Gulo gulo,Wolverine (Eastern population),Mammals ,Endangered,Schedule 1,131041061.18,85.77999999999999,0.0
138,Mustela nigripes,Black–footed Ferret,Mammals,Extirpated,Schedule 1,6747754.81,4983.449999999999,0.07
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,109359093.2,64781.25000000006,0.06
140,Vulpes velox,Swift Fox,Mammals,Threatened,Schedule 1,6481461.62,5419.769999999999,0.08
141,Sorex bendirii,Pacific Water Shrew,Mammals,Endangered,Schedule 1,567607.44,7.67,0.0
142,Scapanus townsendii,Townsend's Mole,Mammals,Endangered,Schedule 1,342251.71,0.0,0.0
143,Bison bison athabascae,Wood Bison,Mammals,Special Concern,Schedule 1,5897170.39,0.0,0.0
144,Rangifer tarandus,Woodland Caribou (Atlantic-Gaspesie population),Mammals,Endangered,Schedule 1,137409.0,0.0,0.0
151,Cynomys ludovicianus,Black–tailed Prairie Dog,Mammals,Threatened,Schedule 1,152829.38,316.73,0.21
153,Scalopus aquaticus,Eastern Mole,Mammals,Special Concern,Schedule 1,30709.59,110.06,0.36
154,Mustela erminea haidarum,Ermine haidarum subspecies,Mammals,Threatened,Schedule 1,944051.04,50.22,0.01
157,Urocyon cinereoargenteus,Gray Fox,Mammals,Threatened,Schedule 1,11522482.79,45932.53999999996,0.4
163,Sylvilagus nuttallii nuttallii,Nuttall's Cottontail nuttallii subspecies,Mammals,Special Concern,Schedule 1,162119.11,1481.66,0.91
164,Dipodomys ordii,Ord's Kangaroo Rat,Mammals,Endangered,Schedule 1,7978396.07,5404.3,0.07
165,Antrozous pallidus,Pallid Bat,Mammals,Threatened,Schedule 1,32252.85,23.67,0.07
167,Ursus maritimus,Polar Bear,Mammals,Special Concern,Schedule 1,204744353.68,0.0,0.0
170,Euderma maculatum,Spotted Bat,Mammals,Special Concern,Schedule 1,6826409.74,9788.269999999999,0.14
171,Reithrodontomys megalotis megalotis,Western Harvest Mouse megalotis subspecies,Mammals,Special Concern,Schedule 1,634819.84,1506.17,0.24
176,Magnolia acuminata,Cucumber Tree,Vascular Plants,Endangered,Schedule 1,105376.72,2293.1699999999996,2.18
177,Balsamorhiza deltoidea,Deltoid Balsamroot,Vascular Plants,Endangered,Schedule 1,6869.64,0.84,0.01
178,Isoetes engelmannii,Engelmann's Quillwort,Vascular Plants,Endangered,Schedule 1,22222.87,0.0,0.0
179,Pedicularis furbishiae,Furbish's Lousewort,Vascular Plants,Endangered,Schedule 1,3639.26,0.0,0.0
180,Agalinis gattingeri,Gattinger's Agalinis,Vascular Plants,Endangered,Schedule 1,74371.91,0.0,0.0
181,Plantago cordata,Heart–leaved Plantain,Vascular Plants,Endangered,Schedule 1,15697.79,142.32,0.91
182,Pycnanthemum incanum,Hoary Mountain–mint,Vascular Plants,Endangered,Schedule 1,12366.57,0.0,0.0
183,Isotria verticillata,Large Whorled Pogonia,Vascular Plants,Endangered,Schedule 1,1255.81,0.0,0.0
184,Geum peckii,Eastern Mountain Avens,Vascular Plants,Endangered,Schedule 1,28078.39,446.58,1.59
185,Coreopsis rosea,Pink Coreopsis,Vascular Plants,Endangered,Schedule 1,16577.19,879.26,5.3
186,Polygala incarnata,Pink Milkwort,Vascular Plants,Endangered,Schedule 1,11246.95,0.0,0.0
187,Lupinus lepidus,Prairie Lupine,Vascular Plants,Endangered,Schedule 1,5023.24,0.0,0.0
188,Opuntia humifusa,Eastern Prickly Pear Cactus,Vascular Plants,Endangered,Schedule 1,2738.4,0.0,0.0
190,Agalinis skinneriana,Skinner's Agalinis,Vascular Plants,Endangered,Schedule 1,22234.22,0.0,0.0
191,Lespedeza virginica,Slender Bush–clover,Vascular Plants,Endangered,Schedule 1,8970.28,0.0,0.0
192,Halimolobos virgata,Slender Mouse–ear–cress,Vascular Plants,Threatened,Schedule 1,232613.51,0.0,0.0
193,Cypripedium candidum,Small White Lady's–slipper,Vascular Plants,Threatened,Schedule 1,106977.07,1738.61,1.63
194,Isotria medeoloides,Small Whorled Pogonia,Vascular Plants,Endangered,Schedule 1,1255.81,0.0,0.0
195,Adiantum capillus-veneris,Southern Maidenhair Fern,Vascular Plants,Endangered,Schedule 1,1255.81,0.0,0.0
196,Chimaphila maculata,Spotted Wintergreen,Vascular Plants,Endangered,Schedule 1,35967.41,1264.1999999999994,3.51
197,Drosera filiformis,Thread–leaved Sundew,Vascular Plants,Endangered,Schedule 1,12769.58,0.0,0.0
198,Hydrocotyle umbellata,Water Pennywort,Vascular Plants,Special Concern,Schedule 1,32651.06,9.66,0.03
199,Ranunculus alismifolius,Water–plantain Buttercup,Vascular Plants,Endangered,Schedule 1,2511.62,0.0,0.0
200,Platanthera praeclara,Western Prairie Fringed–orchid,Vascular Plants,Endangered,Schedule 1,49693.43,7419.570000000001,14.93
201,Gentiana alba,White Prairie Gentian,Vascular Plants,Endangered,Schedule 1,8445.77,0.0,0.0
202,Stylophorum diphyllum,Wood–poppy,Vascular Plants,Endangered,Schedule 1,7848.83,0.0,0.0
203,Collinsia verna,Spring Blue–eyed Mary,Vascular Plants,Extirpated,Schedule 1,28825.48,0.0,0.0
204,Desmodium illinoense,Illinois Tick–trefoil,Vascular Plants,Extirpated,Schedule 1,144019.65,0.0,0.0
205,Castanea dentata,American Chestnut,Vascular Plants,Endangered,Schedule 1,1337106.46,2813.57,0.21
206,Justicia americana,American Water–willow,Vascular Plants,Threatened,Schedule 1,165113.19,455.3200000000001,0.28
207,Symphyotrichum anticostense,Anticosti Aster,Vascular Plants,Threatened,Schedule 1,178237.36,0.0,0.0
208,Armeria maritima ssp. interior,Athabasca Thrift,Vascular Plants,Special Concern,Schedule 1,79399.96,0.0,0.0
209,Viola pedata,Bird's–foot Violet,Vascular Plants,Endangered,Schedule 1,34612.06,339.62000000000006,0.98
210,Fraxinus quadrangulata,Blue Ash,Vascular Plants,Threatened,Schedule 1,178064.56,398.48999999999995,0.22
211,Buchnera americana,Bluehearts,Vascular Plants,Endangered,Schedule 1,24453.08,144.26,0.59
212,Woodsia obtusa,Blunt–lobed Woodsia,Vascular Plants,Threatened,Schedule 1,20361.57,437.65,2.15
213,Smilax rotundifolia,Round-leaved Greenbrier (Great Lakes Plains population),Vascular Plants,Threatened,Schedule 1,58312.44,1528.1,2.62
214,Aletris farinosa,Colicroot,Vascular Plants,Threatened,Schedule 1,34937.57,0.0,0.0
215,Vaccinium stamineum,Deerberry,Vascular Plants,Threatened,Schedule 1,18104.46,0.0,0.0
217,Panax quinquefolius,American Ginseng,Vascular Plants,Endangered,Schedule 1,13117593.19,40020.75999999998,0.31
218,Tephrosia virginiana,Virginia Goat's–rue,Vascular Plants,Endangered,Schedule 1,3806.4,12.62,0.33
219,Lophiola aurea,Goldencrest,Vascular Plants,Special Concern,Schedule 1,28914.91,0.0,0.0
220,Castilleja levisecta,Golden Paintbrush,Vascular Plants,Endangered,Schedule 1,2511.62,0.0,0.0
221,Hydrastis canadensis,Goldenseal,Vascular Plants,Threatened,Schedule 1,94162.91,263.38,0.28
222,Gymnocladus dioicus,Kentucky Coffee–tree,Vascular Plants,Threatened,Schedule 1,162040.31,14.780000000000001,0.01
223,Azolla mexicana,Mexican Mosquito–fern,Vascular Plants,Threatened,Schedule 1,65086.65,0.0,0.0
224,Triphora trianthophoros,Nodding Pogonia,Vascular Plants,Endangered,Schedule 1,39244.07,30.31,0.08
225,Cirsium pitcheri,Pitcher's Thistle,Vascular Plants,Special Concern,Schedule 1,51748.51,0.0,0.0
226,Sabatia kennedyana,Plymouth Gentian,Vascular Plants,Endangered,Schedule 1,24696.78,1234.92,5.0
227,Liparis liliifolia,Purple Twayblade,Vascular Plants,Threatened,Schedule 1,59377.01,347.03999999999996,0.58
228,Morus rubra,Red Mulberry,Vascular Plants,Endangered,Schedule 1,161762.24,336.39,0.21
229,Lachnanthes caroliniana,Redroot,Vascular Plants,Special Concern,Schedule 1,31767.85,0.0,0.0
230,Tripterocalyx micranthus,Small–flowered Sand–verbena,Vascular Plants,Endangered,Schedule 1,187703.46,0.0,0.0
231,Lipocarpha micrantha,Small–flowered Lipocarpha,Vascular Plants,Endangered,Schedule 1,336041.62,1556.14,0.46
232,Clethra alnifolia,Sweet Pepperbush,Vascular Plants,Threatened,Schedule 1,11419.78,213.98,1.87
234,Polemonium vanbruntiae,Van Brunt's Jacob's–ladder,Vascular Plants,Threatened,Schedule 1,154701.73,545.8900000000001,0.35
235,Iris missouriensis,Western Blue Flag,Vascular Plants,Special Concern,Schedule 1,33224.44,337.28000000000003,1.02
236,Tradescantia occidentalis,Western Spiderwort,Vascular Plants,Threatened,Schedule 1,60398.94,62.6,0.1
237,Sericocarpus rigidus,White–top Aster,Vascular Plants,Special Concern,Schedule 1,21713.31,48.33,0.22
238,Eurybia divaricata,White Wood Aster,Vascular Plants,Threatened,Schedule 1,261490.75,1041.3799999999997,0.4
239,Viola praemorsa ssp. praemorsa,Yellow Montane Violet praemorsa subspecies,Vascular Plants,Endangered,Schedule 1,12256.64,41.09,0.34
240,Frasera caroliniensis,American Columbo,Vascular Plants,Endangered,Schedule 1,100013.48,0.0,0.0
241,Bartonia paniculata ssp. paniculata,Branched Bartonia,Vascular Plants,Threatened,Schedule 1,170228.2,0.0,0.0
245,Rosa setigera,Climbing Prairie Rose,Vascular Plants,Special Concern,Schedule 1,228565.04,332.83000000000004,0.15
246,Liatris spicata,Dense Blazing Star,Vascular Plants,Threatened,Schedule 1,175652.95,264.82,0.15
247,Celtis tenuifolia,Dwarf Hackberry,Vascular Plants,Threatened,Schedule 1,66215.88,275.14999999999986,0.42
248,Platanthera leucophaea,Eastern Prairie Fringed–orchid,Vascular Plants,Endangered,Schedule 1,393129.85,2802.3400000000006,0.71
249,Enemion biternatum,False Rue–anemone,Vascular Plants,Threatened,Schedule 1,63596.17,0.0,0.0
250,Trichophorum planifolium,Bashful Bulrush,Vascular Plants,Endangered,Schedule 1,19684.64,0.0,0.0
252,Symphyotrichum laurentianum,Gulf of St. Lawrence Aster,Vascular Plants,Threatened,Schedule 1,130898.2,115.47999999999999,0.09
254,Potamogeton hillii,Hill's Pondweed,Vascular Plants,Special Concern,Schedule 1,553656.75,2370.4599999999996,0.43
255,Ptelea trifoliata,Common Hoptree,Vascular Plants,Threatened,Schedule 1,148457.99,388.85999999999996,0.26
256,Arnoglossum plantagineum,Tuberous Indian–plantain,Vascular Plants,Special Concern,Schedule 1,132065.45,1766.16,1.34
258,Lilaeopsis chinensis,Eastern Lilaeopsis,Vascular Plants,Special Concern,Schedule 1,62403.97,0.0,0.0
259,Limnanthes macounii,Macoun's Meadowfoam,Vascular Plants,Threatened,Schedule 1,52761.61,349.03,0.66
260,Juncus caesariensis,New Jersey Rush,Vascular Plants,Special Concern,Schedule 1,48504.3,0.0,0.0
261,Cephalanthera austiniae,Phantom Orchid,Vascular Plants,Endangered,Schedule 1,12204.67,0.0,0.0
264,Chenopodium subglabrum,Smooth Goosefoot,Vascular Plants,Threatened,Schedule 1,4616021.31,2701.1199999999994,0.06
265,Yucca glauca,Soapweed,Vascular Plants,Threatened,Schedule 1,3461.76,0.0,0.0
266,Hibiscus moscheutos,Swamp Rose–mallow,Vascular Plants,Special Concern,Schedule 1,301266.22,890.0699999999997,0.3
267,Gentianopsis virgata ssp. victorinii,Victorin's Gentian,Vascular Plants,Threatened,Schedule 1,323316.02,85.50999999999999,0.03
268,Cicuta maculata var. victorinii,Victorin's Water–hemlock,Vascular Plants,Special Concern,Schedule 1,379839.28,85.50999999999999,0.02
269,Symphyotrichum sericeum,Western Silvery Aster,Vascular Plants,Threatened,Schedule 1,71039.03,462.49000000000007,0.65
270,Camassia scilloides,Wild Hyacinth,Vascular Plants,Threatened,Schedule 1,38506.98,422.29,1.1
271,Coluber constrictor foxii,Blue Racer,Reptiles,Endangered,Schedule 1,4107.33,64.95,1.58
272,Acris blanchardi,Blanchard's Cricket Frog,Amphibians,Endangered,Schedule 1,313.95,0.0,0.0
273,Nerodia sipedon insularum,Lake Erie Watersnake,Reptiles,Endangered,Schedule 1,1389.75,0.0,0.0
275,Phrynosoma douglasii,Pygmy Short–horned Lizard,Reptiles,Extirpated,Schedule 1,143754.62,1481.5500000000002,1.03
276,Emydoidea blandingii,Blanding's Turtle (Nova Scotia population),Reptiles,Endangered,Schedule 1,77306.01,0.0,0.0
277,Sistrurus catenatus,Massasauga,Reptiles,Threatened,Schedule 1,1364571.0,2115.76,0.16
278,Apalone spinifera,Spiny Softshell,Reptiles,Threatened,Schedule 1,1741950.78,4604.040000000005,0.26
279,Phrynosoma hernandesi,Greater Short–horned Lizard,Reptiles,Endangered,Schedule 1,3165758.11,2008.2699999999995,0.06
280,Coluber constrictor flaviventris,Eastern Yellow–bellied Racer,Reptiles,Threatened,Schedule 1,445848.58,1082.2499999999998,0.24
281,Anaxyrus fowleri,Fowler's Toad,Amphibians,Endangered,Schedule 1,42939.53,159.21999999999997,0.37
282,Plestiodon septentrionalis,Prairie Skink,Reptiles,Endangered,Schedule 1,551707.28,1472.59,0.27
283,Dicamptodon tenebrosus,Coastal Giant Salamander,Amphibians,Threatened,Schedule 1,96151.82,0.0,0.0
284,Ambystoma texanum,Small–mouthed Salamander,Amphibians,Endangered,Schedule 1,4425.12,421.83000000000004,9.53
285,Clemmys guttata,Spotted Turtle,Reptiles,Endangered,Schedule 1,10813953.88,38948.68999999998,0.36
286,Glyptemys insculpta,Wood Turtle,Reptiles,Threatened,Schedule 1,22062850.15,46769.13999999999,0.21
288,Trillium flexipes,Drooping Trillium,Vascular Plants,Endangered,Schedule 1,15698.01,0.0,0.0
290,Bartramia stricta,Rigid Apple Moss,Mosses,Endangered,Schedule 1,2511.62,0.0,0.0
